slug,name,aka,description,category,category_color,svg,png,svg_url,png_url,docs,source_url
"zerobus-ingest","Zerobus Ingest","","Broker-free streaming ingest over gRPC, REST and OpenTelemetry with roughly five-second freshness.","Data Engineering","#2272B4","svg/zerobus-ingest.svg","png/zerobus-ingest.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/zerobus-ingest.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/zerobus-ingest.png","https://www.databricks.com/product/data-engineering/lakeflow-connect/zerobus-ingest","https://www.databricks.com/sites/default/files/2025-04/primary-icon-orange-input-ingest_.svg"
"spark-declarative-pipelines","Apache Spark Declarative Pipelines","Lakeflow Declarative Pipelines. Formerly Delta Live Tables (DLT)","Declarative batch and streaming ETL with built-in data quality expectations, CDC and dependency management.","Data Engineering","#2272B4","svg/spark-declarative-pipelines.svg","png/spark-declarative-pipelines.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/spark-declarative-pipelines.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/spark-declarative-pipelines.png","https://www.databricks.com/product/data-engineering/spark-declarative-pipelines","https://www.databricks.com/sites/default/files/2025-02/primary-icon-orange-lakeflow-pipelines.svg"
"lakeflow-jobs","Lakeflow Jobs","formerly Databricks Workflows","Native orchestration for data, analytics and AI workflows, with control flow, retries and alerting.","Data Engineering","#2272B4","svg/lakeflow-jobs.svg","png/lakeflow-jobs.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakeflow-jobs.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakeflow-jobs.png","https://www.databricks.com/product/data-engineering/lakeflow-jobs","https://www.databricks.com/sites/default/files/2023-08/primary-icon-orange-automation-orchestration.svg"
"lakeflow-designer","Lakeflow Designer","","No-code, drag-and-drop pipeline authoring that generates governed, production-ready pipeline code.","Data Engineering","#2272B4","svg/lakeflow-designer.svg","png/lakeflow-designer.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakeflow-designer.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakeflow-designer.png","https://www.databricks.com/product/data-engineering/lakeflow-designer","https://www.databricks.com/sites/default/files/2025-05/dagicon.svg"
"auto-loader","Auto Loader","","Incrementally and idempotently ingests new files from cloud object storage as they arrive.","Data Engineering","#2272B4","svg/auto-loader.svg","png/auto-loader.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/auto-loader.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/auto-loader.png","https://docs.databricks.com/aws/en/ingestion/cloud-object-storage/auto-loader/","https://www.databricks.com/sites/default/files/2026-06/primary-icon-orange-access-connector.svg"
"structured-streaming","Structured Streaming","","The Apache Spark API for exactly-once stream processing in continuous, incremental pipelines.","Data Engineering","#2272B4","svg/structured-streaming.svg","png/structured-streaming.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/structured-streaming.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/structured-streaming.png","https://docs.databricks.com/aws/en/structured-streaming/","https://www.databricks.com/sites/default/files/2026-06/streamIcon.svg"
"lakebridge","Lakebridge","","Migration tooling that profiles legacy warehouses, converts code to ANSI SQL and validates the results.","Data Engineering","#2272B4","svg/lakebridge.svg","png/lakebridge.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakebridge.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakebridge.png","https://www.databricks.com/solutions/migration","https://www.databricks.com/sites/default/files/2023-03/icon-orange-reserved-keywords-parser.svg"
"delta-lake","Delta Lake","","Open table format adding ACID transactions, time travel and change data feed to object storage.","Storage & Databases","#00875C","svg/delta-lake.svg","png/delta-lake.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/delta-lake.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/delta-lake.png","https://www.databricks.com/product/delta-lake-on-databricks","https://www.databricks.com/sites/default/files/2023-03/icon-orange_delta-lake.svg"
"apache-iceberg","Apache Iceberg","","First-class managed and foreign Iceberg tables, readable and writable through Unity and Iceberg REST catalogs.","Storage & Databases","#00875C","svg/apache-iceberg.svg","png/apache-iceberg.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/apache-iceberg.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/apache-iceberg.png","https://www.databricks.com/product/lakehouse-storage","https://www.databricks.com/sites/default/files/2024-12/logo-color-apache-iceberg.svg"
"lakehouse-storage","Lakehouse Storage (Managed Tables)","","Self-optimizing managed Delta and Iceberg tables with automatic layout, compaction and caching.","Storage & Databases","#00875C","svg/lakehouse-storage.svg","png/lakehouse-storage.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakehouse-storage.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakehouse-storage.png","https://www.databricks.com/product/lakehouse-storage","https://www.databricks.com/sites/default/files/2023-02/icon-orange-Delta-Table.svg"
"liquid-clustering","Liquid Clustering","","Partition-free, self-tuning data layout that adapts clustering keys to real query patterns.","Storage & Databases","#00875C","svg/liquid-clustering.svg","png/liquid-clustering.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/liquid-clustering.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/liquid-clustering.png","https://docs.databricks.com/aws/en/delta/clustering","https://www.databricks.com/sites/default/files/2025-05/layerIcon.svg"
"predictive-optimization","Predictive Optimization","","AI-driven background maintenance that runs OPTIMIZE, VACUUM and statistics where they pay off most.","Storage & Databases","#00875C","svg/predictive-optimization.svg","png/predictive-optimization.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/predictive-optimization.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/predictive-optimization.png","https://docs.databricks.com/aws/en/optimizations/predictive-optimization","https://www.databricks.com/sites/default/files/2025-08/gearOutlinedIcon.svg"
"lakebase","Lakebase","","Serverless Postgres OLTP database with branching, scale-to-zero and native lakehouse sync for apps and agents.","Storage & Databases","#00875C","svg/lakebase.svg","png/lakebase.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakebase.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakebase.png","https://www.databricks.com/product/lakebase","https://www.databricks.com/sites/default/files/2026-01/icon-lakebase.svg"
"data-warehousing","Databricks Lakehouse (Data Warehousing)","","Serverless data warehouse built on open table formats and governed by Unity Catalog.","Analytics & BI","#1B5162","svg/data-warehousing.svg","png/data-warehousing.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/data-warehousing.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/data-warehousing.png","https://www.databricks.com/product/databricks-lakehouse","https://www.databricks.com/sites/default/files/2026-03/primary-icon-orange-data-warehouse.svg"
"databricks-sql","Databricks SQL","","The SQL surface of the lakehouse: warehouses, editor, queries, alerts and BI connectivity.","Analytics & BI","#1B5162","svg/databricks-sql.svg","png/databricks-sql.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks-sql.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks-sql.png","https://www.databricks.com/product/databricks-sql","https://www.databricks.com/sites/default/files/2026-01/icon-databricks-sql.svg"
"sql-warehouse","SQL Warehouse","","Serverless, Photon-powered SQL compute endpoint for BI tools, dashboards and ad hoc queries.","Analytics & BI","#1B5162","svg/sql-warehouse.svg","png/sql-warehouse.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/sql-warehouse.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/sql-warehouse.png","https://docs.databricks.com/aws/en/compute/sql-warehouse/","https://www.databricks.com/sites/default/files/2026-06/TableLightningIcon.svg"
"lakehouse-rt","Lakehouse//RT","","Real-time warehouse tier serving millisecond queries at high concurrency directly on lake tables.","Analytics & BI","#1B5162","svg/lakehouse-rt.svg","png/lakehouse-rt.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakehouse-rt.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakehouse-rt.png","https://www.databricks.com/product/lakehouse/real-time-lakehouse","https://www.databricks.com/sites/default/files/2026-06/icon-lakehouse-rt.svg"
"ai-bi","Databricks AI/BI","","The built-in business intelligence experience spanning dashboards, Genie spaces and semantics.","Analytics & BI","#1B5162","svg/ai-bi.svg","png/ai-bi.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/ai-bi.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/ai-bi.png","https://www.databricks.com/product/business-intelligence","https://www.databricks.com/sites/default/files/2026-01/icon-ai-bi.svg"
"ai-bi-dashboards","AI/BI Dashboards","","Dashboards with natural-language chart authoring and forecasting. Publication needs no separate license.","Analytics & BI","#1B5162","svg/ai-bi-dashboards.svg","png/ai-bi-dashboards.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/ai-bi-dashboards.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/ai-bi-dashboards.png","https://www.databricks.com/product/business-intelligence/ai-bi-dashboards","https://www.databricks.com/sites/default/files/2025-01/dashboardIcon.svg"
"lakehouse-federation","Lakehouse Federation","","Query and govern external systems such as Snowflake, BigQuery, Postgres and MySQL in place, without moving data.","Analytics & BI","#1B5162","svg/lakehouse-federation.svg","png/lakehouse-federation.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakehouse-federation.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakehouse-federation.png","https://docs.databricks.com/aws/en/query-federation/","https://www.databricks.com/sites/default/files/2023-03/icon-orange-Network-Data-Sources.svg"
"genie","Databricks Genie","","The agentic AI experience that answers questions and acts on governed enterprise data.","AI & Agents","#98102A","svg/genie.svg","png/genie.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/genie.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/genie.png","https://www.databricks.com/product/business-intelligence","https://www.databricks.com/sites/default/files/2026-05/icon-genie.svg"
"genie-one","Genie One","","AI coworker hub where business users ask questions, get grounded answers and trigger agentic actions.","AI & Agents","#98102A","svg/genie-one.svg","png/genie-one.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/genie-one.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/genie-one.png","https://www.databricks.com/product/genie/one","https://www.databricks.com/sites/default/files/2026-06/icon-genie-one-16x16.svg"
"genie-agents","Genie Agents","formerly AI/BI Genie spaces","Governed natural-language analytics spaces that answer business questions over curated data.","AI & Agents","#98102A","svg/genie-agents.svg","png/genie-agents.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/genie-agents.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/genie-agents.png","https://www.databricks.com/product/genie/agents","https://www.databricks.com/sites/default/files/2025-02/speechBubbleIcon.svg"
"genie-code","Genie Code","","Agentic coding partner for data teams that builds pipelines, dashboards, notebooks and ML workflows.","AI & Agents","#98102A","svg/genie-code.svg","png/genie-code.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/genie-code.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/genie-code.png","https://www.databricks.com/product/genie/code","https://www.databricks.com/sites/default/files/2026-03/GenieCodeIcon.svg"
"genie-deep-research","Genie Deep Research","","Multi-step research agent that investigates a question across governed data and returns a cited report.","AI & Agents","#98102A","svg/genie-deep-research.svg","png/genie-deep-research.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/genie-deep-research.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/genie-deep-research.png","https://www.databricks.com/product/genie/one","https://www.databricks.com/sites/default/files/2026-02/GenieDeepResearchIcon.svg"
"agent-bricks","Agent Bricks","","Platform for building, evaluating and governing enterprise AI agents grounded in your own data.","AI & Agents","#98102A","svg/agent-bricks.svg","png/agent-bricks.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/agent-bricks.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/agent-bricks.png","https://www.databricks.com/product/artificial-intelligence/agent-bricks","https://www.databricks.com/sites/default/files/2026-01/icon-mosaic-ai-bricks.svg"
"ai-search","Databricks AI Search","formerly Databricks Vector Search / Mosaic AI Vector Search","Managed hybrid vector and BM25 search with auto-syncing indexes and built-in reranking.","AI & Agents","#98102A","svg/ai-search.svg","png/ai-search.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/ai-search.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/ai-search.png","https://www.databricks.com/product/artificial-intelligence/ai-search","https://www.databricks.com/sites/default/files/2024-11/SearchDataIcon.svg"
"unity-ai-gateway","Unity AI Gateway","","Single control plane for model, MCP and agent access with guardrails, rate limits, budgets and audit.","AI & Agents","#98102A","svg/unity-ai-gateway.svg","png/unity-ai-gateway.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/unity-ai-gateway.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/unity-ai-gateway.png","https://www.databricks.com/product/artificial-intelligence/unity-ai-gateway","https://www.databricks.com/sites/default/files/2024-10/primary-icon-orange-authentication-service.svg"
"document-intelligence","Document Intelligence","","SQL-native parsing, extraction and classification that turns PDFs and images into governed structured data.","AI & Agents","#98102A","svg/document-intelligence.svg","png/document-intelligence.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/document-intelligence.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/document-intelligence.png","https://www.databricks.com/product/artificial-intelligence/document-intelligence","https://www.databricks.com/sites/default/files/2023-02/icon-orange-Data-Parser-Normalizer-ETL-ELT.svg"
"model-serving","Databricks Model Serving","formerly Mosaic AI Model Serving","Unified serverless endpoints for custom ML models, foundation models and agents, plus batch inference.","AI & Agents","#98102A","svg/model-serving.svg","png/model-serving.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/model-serving.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/model-serving.png","https://www.databricks.com/product/model-serving","https://www.databricks.com/sites/default/files/2025-05/CloudModelIcon.svg"
"model-training","Databricks Model Training","","Managed fine-tuning and custom model training on serverless H100 GPUs, without moving data.","AI & Agents","#98102A","svg/model-training.svg","png/model-training.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/model-training.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/model-training.png","https://www.databricks.com/product/machine-learning/mosaic-ai-training","https://www.databricks.com/sites/default/files/2024-10/modelsIcon.svg"
"mlflow","Managed MLflow","","Hosted MLflow for experiment tracking, GenAI tracing, evaluation and the Unity Catalog model registry.","AI & Agents","#98102A","svg/mlflow.svg","png/mlflow.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/mlflow.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/mlflow.png","https://www.databricks.com/product/managed-mlflow","https://www.databricks.com/sites/default/files/2023-01/icon-orange-Full-Lifecycle-Machine-Learning.svg"
"feature-store","Databricks Feature Store","","Governed feature registry with batch and low-latency online serving, and training/serving consistency.","AI & Agents","#98102A","svg/feature-store.svg","png/feature-store.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/feature-store.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/feature-store.png","https://www.databricks.com/product/feature-store","https://www.databricks.com/sites/default/files/2024-10/primary-icon-orange-cache-sync-reduction.svg"
"ai-functions","AI Functions","","SQL functions such as ai_query, ai_classify and ai_extract that call models directly inside queries.","AI & Agents","#98102A","svg/ai-functions.svg","png/ai-functions.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/ai-functions.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/ai-functions.png","https://docs.databricks.com/aws/en/large-language-models/ai-functions","https://www.databricks.com/sites/default/files/2025-08/primary-icon-orange-built-in-functions.svg"
"automl","Databricks AutoML","","Glass-box automated training that produces baseline models plus the editable notebooks that built them.","AI & Agents","#98102A","svg/automl.svg","png/automl.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/automl.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/automl.png","https://www.databricks.com/product/automl","https://www.databricks.com/sites/default/files/2024-02/primary-icon-orange-machine-learning.svg"
"customerlake","CustomerLake","","Agentic customer data platform with identity resolution, Customer 360 and marketing agents, native to the lakehouse.","AI & Agents","#98102A","svg/customerlake.svg","png/customerlake.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/customerlake.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/customerlake.png","https://www.databricks.com/product/customerlake-cdp","https://www.databricks.com/sites/default/files/2026-06/icon-customerlake.svg"
"unity-catalog","Unity Catalog","","Unified governance for data, models, agents and MCP servers across clouds, under one permission model.","Governance & Security","#1B3139","svg/unity-catalog.svg","png/unity-catalog.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/unity-catalog.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/unity-catalog.png","https://www.databricks.com/product/unity-catalog","https://www.databricks.com/sites/default/files/2026-01/icon-unity-catalog.svg"
"unity-catalog-semantics","Unity Catalog Semantics","","Central semantic layer of metric views and business definitions that grounds BI tools and AI agents.","Governance & Security","#1B3139","svg/unity-catalog-semantics.svg","png/unity-catalog-semantics.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/unity-catalog-semantics.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/unity-catalog-semantics.png","https://www.databricks.com/product/unity-catalog/business-semantics","https://www.databricks.com/sites/default/files/2023-08/primary-icon-orange-context-enrichment.svg"
"data-lineage","Data & AI Lineage","","Automatic column-level lineage across tables, dashboards, models and agents for impact analysis and audit.","Governance & Security","#1B3139","svg/data-lineage.svg","png/data-lineage.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/data-lineage.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/data-lineage.png","https://docs.databricks.com/aws/en/data-governance/unity-catalog/data-lineage","https://www.databricks.com/sites/default/files/2025-01/primary-icon-orange-data-lineage.svg"
"abac","Attribute-Based Access Control","","Tag- and attribute-driven policies that enforce row, column and object permissions at scale.","Governance & Security","#1B3139","svg/abac.svg","png/abac.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/abac.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/abac.png","https://docs.databricks.com/aws/en/data-governance/unity-catalog/abac/","https://www.databricks.com/sites/default/files/2025-01/lockOutlinedIcon.svg"
"data-quality-monitoring","Data Quality Monitoring","formerly Lakehouse Monitoring","Automated profiling, freshness checks and anomaly detection over tables and inference logs.","Governance & Security","#1B3139","svg/data-quality-monitoring.svg","png/data-quality-monitoring.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/data-quality-monitoring.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/data-quality-monitoring.png","https://www.databricks.com/product/machine-learning/lakehouse-monitoring","https://www.databricks.com/sites/default/files/2023-02/icon-orange-Observable-Metrics_0.svg"
"lakewatch","Lakewatch","","Open agentic SIEM for petabyte-scale security logs, detection-as-code and AI-assisted threat hunting.","Governance & Security","#1B3139","svg/lakewatch.svg","png/lakewatch.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakewatch.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakewatch.png","https://www.databricks.com/product/lakewatch","https://www.databricks.com/sites/default/files/2023-02/icon-orange-SIEM.svg"
"system-tables","System Tables","","Built-in analytical tables exposing billing, usage, lineage, audit and job history for observability.","Governance & Security","#1B3139","svg/system-tables.svg","png/system-tables.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/system-tables.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/system-tables.png","https://docs.databricks.com/aws/en/admin/system-tables/","https://www.databricks.com/sites/default/files/2026-02/visibleIcon.svg"
"enterprise-security","Enterprise Security","","Network isolation, customer-managed keys, private connectivity and compliance controls for the workspace.","Governance & Security","#1B3139","svg/enterprise-security.svg","png/enterprise-security.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/enterprise-security.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/enterprise-security.png","https://www.databricks.com/trust/security-features","https://www.databricks.com/sites/default/files/2025-06/primary-icon-orange-enterprise-security.svg"
"delta-sharing","Delta Sharing","","An open protocol for live, zero-copy data sharing across clouds, platforms and organizations.","Sharing & Collaboration","#BA7B23","svg/delta-sharing.svg","png/delta-sharing.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/delta-sharing.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/delta-sharing.png","https://www.databricks.com/product/delta-sharing","https://www.databricks.com/sites/default/files/2025-01/shareIcon-orange.svg"
"opensharing","OpenSharing","","Linux Foundation standard extending governed sharing to data, models and agents across engines and clouds.","Sharing & Collaboration","#BA7B23","svg/opensharing.svg","png/opensharing.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/opensharing.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/opensharing.png","https://www.databricks.com/product/opensharing","https://www.databricks.com/sites/default/files/2026-03/primary-icon-orange-open-source.svg"
"marketplace","Databricks Marketplace","","Open exchange for datasets, models, notebooks, dashboards and solution accelerators.","Sharing & Collaboration","#BA7B23","svg/marketplace.svg","png/marketplace.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/marketplace.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/marketplace.png","https://www.databricks.com/product/marketplace","https://www.databricks.com/sites/default/files/2026-06/dataMarketplaceIcon.svg"
"clean-rooms","Databricks Clean Rooms","","Privacy-safe multi-party collaboration on shared data with no raw-data access, across clouds.","Sharing & Collaboration","#BA7B23","svg/clean-rooms.svg","png/clean-rooms.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/clean-rooms.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/clean-rooms.png","https://www.databricks.com/product/collaboration/clean-rooms","https://www.databricks.com/sites/default/files/2023-08/primary-icon-orange-collaborate.svg"
"partner-connect","Partner Connect","","Guided setup that wires validated ingestion, BI and governance partner tools into your workspace.","Sharing & Collaboration","#BA7B23","svg/partner-connect.svg","png/partner-connect.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/partner-connect.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/partner-connect.png","https://www.databricks.com/partnerconnect","https://www.databricks.com/sites/default/files/2023-06/primary-icon-orange-partner-connect.svg"
